,Subject,k,z1,z2,z3,zNW,a0/BA,a1/BS,x0,sz,nondectime,l,m1,m2,m3,mNW,BA,BS,x0.1,sz.1,nondectime.1,"LogLoss (nlDDM, train)","LogLoss (OU, train)","BIC (nlDDM, train)","BIC (OU, train)","LogLoss (nlDDM, test)","LogLoss (OU, test)","BIC (nlDDM, test)","BIC (OU, test)",# train samples,# test samples,CV
0,8.0,7.082788606209595,-0.502448786304409,-0.335158889852241,-0.3126031089264584,-0.4349050893209506,0.6510102567018146,0.9937184502171268,-0.2515803555263217,0.4810791972170309,0.1055213180362475,0.1,0.584735749095747,0.3396678485622776,0.1898003498751575,0.4334060324413578,0.3450879184322621,0.2005518920656173,-0.2272628428699492,0.0494473432513069,0.1769205204069136,865.3806241328639,916.6917749758596,1803.792948778096,1906.415250464087,167.69791509080267,195.26870824406885,394.5847687243368,449.7263550308692,1485.0,372.0,0
0,8.0,5.80210020666941,-0.6051470590047935,-0.3747150283995749,-0.3205876857113948,-0.4986737489451051,0.6923497582442544,1.085362620954308,-0.3009947140306659,0.6078378516174389,0.1054958979012686,0.1,0.6042511934425833,0.3385371259242983,0.1787239835749985,0.4336166259036967,0.3414334062659216,0.198007375928261,-0.2367492937676055,0.0291314825437851,0.1754880489737608,864.4491276482638,904.2600637793232,1801.929955808896,1881.551828071014,174.83849823562554,205.4894042213339,408.86593501398255,470.1677469853993,1485.0,372.0,1
0,8.0,7.36921816359937,-0.5738495161833339,-0.4317051334883452,-0.3802487592901212,-0.5290442701088206,0.6800000038003506,1.0035443456076685,-0.3497522394900191,0.4491047025965565,0.1027575375148904,0.1,0.6304998750298423,0.357666026781067,0.1870555107932874,0.4665707293978577,0.344881496407968,0.200585601256666,-0.267195781543067,0.0251491758821941,0.1757881508109569,759.1298313928382,854.6036639166359,1591.2980950384535,1782.245760086049,270.11927216108825,257.236149714938,599.4005649482508,573.6343200559503,1486.0,371.0,2
0,8.0,3.763549445011933,-0.6336931463922366,-0.3925948843583973,-0.3039874227499309,-0.5367860074828422,0.8764277261083905,1.3550000090858672,-0.2814496221819165,0.705770891080402,0.1253687552560414,0.1,0.6100406969044002,0.3295155029978157,0.1605209352519991,0.4548292589573673,0.3448346399926496,0.1912986657484721,-0.2563287628258626,0.0165862440205793,0.1877254452529618,813.3843216373359,870.1281513914134,1699.807075527449,1813.294735035604,239.6964318209596,267.8955475442364,538.5548842679934,594.953115714547,1486.0,371.0,3
0,8.0,0.752287310922549,-0.7602409356042151,-0.2193052962527851,-0.0321537990166627,-0.4969979229105736,1.8474640702387235,2.9620124507974426,-0.0537404034392496,0.9654780249275532,0.1620073109757082,0.1,0.6056813948018337,0.3317053192234594,0.1763236297958939,0.4283536379115917,0.3442745558995512,0.1946021717407089,-0.2272154381335583,0.0031598249549382,0.1767973700790931,882.8977131231461,884.5101781573508,1838.8338584990693,1842.0587885674784,218.32310751277865,228.01395709593535,495.80823565163166,515.1899348179451,1486.0,371.0,4
0,9.0,5.110002151660106,-0.8690396360317179,-0.7567345677489657,-0.6619467345910015,-0.7788737525197972,1.1916278235798572,1.5142544232361763,-0.5475724976232483,0.5895572016955888,0.2537680718338431,0.1187992822446011,0.7226228198856983,0.6073914926353741,0.2771906563920234,0.6386949605557204,0.2603843033375157,0.1519319115213409,-0.0175479752042566,0.003807815225467,0.3677826564838546,-366.0574539027468,-273.6269281424633,-658.7977581082289,-473.936706587662,-106.50125251580306,-108.05670196183742,-153.52215513979968,-156.63305403186837,1528.0,383.0,0
0,9.0,4.265589147924666,-0.9383924227979508,-0.753111047502438,-0.6610226098587931,-0.8466793220862822,1.161087935513664,1.6229722892506022,-0.3822402290154134,0.8650141115287131,0.3014741585467814,0.1067610765703159,0.7184647878386192,0.5832323073222554,0.2706190656987282,0.6731514738205586,0.2562034655507874,0.1543571705210666,-0.0294298649167521,0.0262895279288158,0.367344962229374,-398.7700807750537,-320.7878955811776,-724.2164694908168,-568.2520991030647,-62.67082516851685,-59.4258222918417,-65.88744425096795,-59.39743849761764,1529.0,382.0,1
0,9.0,4.082229285188882,-0.9742509938581252,-0.7376378125626959,-0.5454852569737284,-0.8234945317338639,1.174534806618322,1.7644917781792584,-0.2806336098998048,0.8754154027724657,0.3340476988936645,0.107334446304522,0.8045522142135013,0.654273345832098,0.3625545852643439,0.6387487928293005,0.2678077540897043,0.1447816664143659,-0.0362347033715285,0.0069552681016425,0.3675963031037059,-435.2311641435487,-396.9013464984113,-797.1386362278068,-720.4790009375321,67.22539540955931,69.8483567439778,193.9049969051844,199.15091957402137,1529.0,382.0,2
0,9.0,4.662432311850011,-0.8879950912151523,-0.7742578189681079,-0.6756414193958603,-0.8184346574677992,1.2273643566985335,1.5978142648198956,-0.5395531963977667,0.698755877558335,0.2718527662724277,0.1061490273111118,0.7222952855137246,0.6097440642897736,0.2717875389053725,0.6558001060695826,0.2644328426652231,0.1549063703125779,0.0036512630094018,0.0475440498205517,0.3768042322255439,-359.9674333601715,-296.7517790774916,-646.6111746610525,-520.1798660956925,-108.35393050647068,-56.85871321429303,-157.25365492687558,-54.2632203425203,1529.0,382.0,3
0,9.0,5.9978055964510055,-0.8505350876777236,-0.7349448482084628,-0.6731229191165732,-0.7831886382215478,1.1078804558815416,1.4341482411607964,-0.5752576853852198,0.5531678660479113,0.2489566261010014,0.1247949692667234,0.7249516293752842,0.5987376379357627,0.2729490791878817,0.6471070907333809,0.2601137849635622,0.150764915962053,-0.0309797177266314,0.0214193464390179,0.3665755214760614,-355.15661866405947,-270.00884904246453,-636.9895452688284,-466.6940060256384,-119.96576500026218,-110.68312639619606,-180.47732391445865,-161.91204670632635,1529.0,382.0,4
0,10.0,8.056091298916586,-0.95278772078295,-0.7932344069913,-0.661405193643987,-0.7851943665267737,0.9736717431854844,1.2833024983408337,-0.4797787792640577,0.7504179190945733,0.2321596333706282,0.1033054464679663,1.1750722785487988,0.8845324145482722,0.6721708704089098,0.825364313171467,0.248497556292524,0.1467480403190237,-0.2550970354762227,0.0638177149095386,0.2833620832991306,-731.3404822467814,-719.4017595831145,-1389.3115953564868,-1365.434150029153,-120.0095051625255,-57.269663062608046,-180.5125847991737,-55.03290059933882,1536.0,384.0,0
0,10.0,9.652991153260857,-0.9644493241827032,-0.7898357417316484,-0.7321753377136695,-0.8520064103935252,0.9509650546910848,1.2318238864329287,-0.6100371572663426,0.6614853884921089,0.2148445703786465,0.1745176829889549,1.1573986358973831,0.7451098469148283,0.577857536430674,0.7886177293902135,0.2423381611163657,0.1456777061272252,-0.2061037654350171,0.0239430455384166,0.2819426215687835,-664.4936070420854,-668.1171199693249,-1255.617844947095,-1262.8648708015735,-177.65288305126506,-175.63042981695983,-295.79934057665287,-291.7544341080424,1536.0,384.0,1
0,10.0,7.40423009985261,-0.9887104045328938,-0.7674449205252828,-0.6167962105705473,-0.8150939245287309,0.9703348087811507,1.3558272836224208,-0.3691873159040462,0.8612179177481971,0.2510342434548696,0.2908985861743778,1.109555751890937,0.7582104554238409,0.5321196814218467,0.6875980898351823,0.2493603771606967,0.1440899172941083,-0.1731690467405122,0.0320444079229909,0.2804996960282889,-669.9067335859203,-673.4428849748571,-1266.4440980347645,-1273.516400812638,-181.474551620002,-168.70241216672324,-303.4426777141267,-277.8983988075692,1536.0,384.0,2
