Dataset,Subject,correct mean RT (empirical),correct mean RT (nlDDM),correct mean RT (DDM),error mean RT (empirical),error mean RT (nlDDM),error mean RT (DDM),Error rate (empirical),Error rate (nlDDM),Error rate (DDM),LogLoss (nlDDM),LogLoss (DDM),BIC (nlDDM),BIC (DDM),Performance Loss (nlDDM),Performance Loss (DDM)
Binary classification,2,0.5085936170212766,0.5237212591142122,0.5574365827526327,0.46230000000000004,0.4638711747894976,0.4023437148599158,0.020833333333333332,0.030570712224378214,0.013774589079184654,-356.6728557330993,-249.21875758191285,-676.302994842787,-467.56858464431605,0.002284399401160724,0.0059569931186956165
Binary classification,3,0.49497071129707115,0.5154394709232448,0.5251252765134421,0.3805,0.521610964209767,0.3685136160851617,0.004166666666666667,0.01855519737724449,0.0023922891589418633,-533.9603562273336,-429.62358843280936,-1030.8779958312555,-828.378246346109,0.0023070620414058244,0.0025346458961372255
Binary classification,4,0.47195569620253164,0.4703011591193417,0.4565996855122412,0.4366666666666667,0.46918289686610243,0.4159797418445569,0.0125,0.02013439417896456,0.005618135528389236,-708.157203978132,-650.9537723864931,-1379.2716913328522,-1271.0386142534767,0.0007604328689983371,0.0007413229478329705
Binary classification,5,0.5903319238900635,0.6001098181527226,0.6136116038734997,0.5487142857142857,0.5665280040285688,0.519301323530033,0.014583333333333334,0.02516113329327149,0.010773521342174937,-403.15402512415983,-315.67671435643956,-769.2653336249081,-600.4844981933694,0.0010453968725088086,0.0012922572988818119
Binary classification,6,0.6596263048016702,0.6806357471064001,0.6861546707324001,0.511,0.6670591024459898,1.3193742737266425,0.0020833333333333333,0.02066708028455394,1.376085601922703e-182,-274.98054679500297,56.50537165509777,-512.9183769665943,143.8796738297052,0.00367855450460356,0.0027743277382606723
Binary classification,7,0.5207050209205021,0.5255865842581643,0.5428372252981437,0.452,0.49309820251963415,0.4661319578457483,0.004166666666666667,0.02615739748262919,0.0030127039936871203,-466.7806614847923,-412.7225006708634,-896.518606346173,-794.576070822217,0.0020171779290491716,0.001057163080149105
Binary classification,8,0.5357573839662447,0.5509649579512823,0.5679114599677505,0.46319999999999995,0.5040477672398261,0.4723148360373454,0.010438413361169102,0.027692422466815123,0.006256225733092498,-416.3292848988292,-292.00027130486046,-795.6283662131929,-553.1420396226664,0.001935957460780929,0.002230282715403791
Binary classification,9,0.5217440347071584,0.5239788865576986,0.5068964560137847,0.5478749999999999,0.5586221948328947,0.4800483700354568,0.033542976939203356,0.033124474052513606,0.015003653890083535,-361.80990099547364,-170.70587944621877,-686.6147030456173,-310.57417643799585,0.00033583608473584155,0.001679793927092266
Binary classification,10,0.5529052631578947,0.562330010573069,0.5781053207487885,0.4586,0.5264544623026451,0.4683885641963979,0.010416666666666666,0.028293611609347426,0.011876498846101043,-511.8625940156983,-416.6133455885248,-986.682471407985,-802.3577606575399,0.001799867086403445,0.0013791468065638885
Binary classification,11,0.631230607966457,0.6573232928109862,0.7323126407885361,0.5383333333333334,0.5871452570451444,0.4727423515883148,0.00625,0.02845212039356127,0.003545144926315932,-276.9324554172762,255.10738673963434,-516.8221942111408,541.0837039987783,0.0034170940251117307,0.020706837863720733
Binary classification,12,0.5037232704402516,0.527373566958594,0.518017181407988,0.4533333333333333,0.5420396264439158,0.40520570648524784,0.00625,0.016998040077111334,0.0028854262904509445,-588.8890717216497,-510.8105308901058,-1140.7354268198876,-990.7521312607018,0.0016877507326440925,0.0004576881295967088
Binary classification,13,0.46567647058823525,0.4746022821183514,0.47190325564152297,0.44525,0.47030766431048615,0.39777647197072064,0.008333333333333333,0.02202915230727022,0.009927681163541579,-484.61196396213876,-507.8807148499574,-932.1812113008659,-984.8924991804051,0.0010697194987926658,0.000124607219946832
Binary classification,14,0.4674338394793926,0.49453695990156943,0.46392421568942444,0.4535263157894737,0.5305531507376485,0.3726567958429085,0.03958333333333333,0.021096553694901394,0.015748107164429353,-402.95292768500167,-410.88995918705285,-768.8631387465917,-790.910987854596,0.0020111791211370636,0.001432870525094643
Binary classification,15,0.4822315789473684,0.4967331523135474,0.48838254238450063,0.5088,0.554139048603827,0.41558799592502405,0.010416666666666666,0.021001168596298785,0.0031977593925761826,-566.4281411680402,-522.2351447972044,-1095.8135657126686,-1013.601359074899,0.0009843775696555305,0.0003311877162180641
Binary classification,16,0.4802086021505377,0.49313770526875644,0.49777593176037754,0.4478666666666668,0.4595705870580292,0.4066123720626083,0.03125,0.030929214386079627,0.027188520706326835,-485.7362908965189,-381.808905420733,-934.4298651696262,-732.7488803219563,0.0009263010199163407,0.0009773266568814708
Binary classification,17,0.4155765199161426,0.42492232437042476,0.42713057820216693,0.38933333333333336,0.44231985622971326,0.3685698699190051,0.00625,0.021322987713536974,0.009483394930833338,-594.1786052232386,-605.6703406269677,-1151.3144938230655,-1180.4717507344258,0.0011837730445294844,0.00034079531498530245
Binary classification,18,0.6519892933618845,0.655985652920856,0.6530085876224554,0.5927272727272727,0.6454492973413889,0.5401878854934536,0.02301255230125523,0.024207677293652325,0.014151352781434349,-218.22205340228476,-133.98911115657089,-399.4264424096208,-237.13016865068448,0.0010470813348083714,0.0011330050287645902
Binary classification,19,0.5413113006396588,0.5524769136778566,0.547603969819678,0.4448181818181818,0.5136867387854627,0.41897023077036055,0.022916666666666665,0.025296546325020333,0.015172066877669645,-352.6975871805489,-295.25403096103,-668.3524577376862,-559.6391314025503,0.0011881297414431142,0.0008738146650294346
Binary classification,20,0.5937383966244726,0.6218698185249105,0.5800020778191837,0.5326666666666667,0.6985384072938804,0.4762402497748623,0.0125,0.018448114065116813,0.004263404604464908,-443.9419743438781,-345.71998730992885,-850.8412320643446,-660.571044100348,0.002710608992653907,0.0017605142553142638
Binary classification,21,0.5335642105263159,0.5629805191655735,0.556959662728271,0.507,0.6162888932566487,0.40588818201546567,0.010416666666666666,0.015290373318344867,0.009915382670191465,-529.9175414781824,-438.3837716946069,-1022.7923663329533,-845.898612869704,0.002116189352917089,0.0012028822009875408
Binary classification,22,0.616418947368421,0.6195603899270715,0.6381028140237051,0.5376,0.5726451587061855,1.7737603192203684,0.010416666666666666,0.02680072165035059,8.380291526360825e-100,-337.3464749155607,-4.831445086965829,-637.6502332077098,21.206040345578025,0.0013348887255156937,0.0012534580093022413
Binary classification,23,0.5571231422505307,0.5704987994432007,0.5777595777488185,0.5711111111111111,0.5718691093529545,0.5175717288278711,0.01875,0.023231898588908936,0.013341858325033857,-398.5660874014158,-371.1672377234645,-760.08945817942,-711.4655449274193,0.0007986295009034029,0.0011703462331307756
Binary classification,24,0.47867796610169494,0.48400761728371294,0.5059188487046111,0.471375,0.4513967907904455,0.4447722197265238,0.016666666666666666,0.028746797749239366,0.00982028049622461,-489.813073759449,-418.29505610304767,-942.5834308954865,-805.7211816865856,0.001213947140719252,0.0016868928230022867
Binary classification,25,0.5510651260504201,0.5651917076835729,0.543569869715735,0.4355,0.484140959953012,0.3879013913555661,0.008333333333333333,0.03988791925129815,0.003644373475743747,-303.22911098799915,-329.62967737714246,-569.4155053525867,-628.3904242347752,0.004576945530747246,0.0002436462450940997
